v_products_model,v_products_name_1,v_products_description_1,v_products_url_1,v_products_image,v_products_images_image_1,v_products_images_htmlcontent_1,v_products_images_image_2,v_products_images_htmlcontent_2,v_products_images_image_3,v_products_images_htmlcontent_3,v_products_images_image_4,v_products_images_htmlcontent_4,v_products_images_image_5,v_products_images_htmlcontent_5,v_products_images_image_6,v_products_images_htmlcontent_6,v_products_images_image_7,v_products_images_htmlcontent_7,v_products_price,v_products_specials_price,v_products_quantity,v_products_weight,v_date_avail,v_date_added,v_categories_image_1,v_categories_name_1_1,v_categories_image_2,v_categories_name_2_1,v_categories_image_3,v_categories_name_3_1,v_categories_image_4,v_categories_name_4_1,v_categories_image_5,v_categories_name_5_1,v_categories_image_6,v_categories_name_6_1,v_categories_image_7,v_categories_name_7_1,v_manufacturers_name,v_attribute_options_id_1,v_attribute_options_name_1_1,v_attribute_options_id_2,v_attribute_options_name_2_1,v_attribute_options_id_3,v_attribute_options_name_3_1,v_attribute_values_id_3_1,v_attribute_values_name_3_1_1,v_attribute_values_price_3_1,v_attribute_values_id_3_2,v_attribute_values_name_3_2_1,v_attribute_values_price_3_2,v_attribute_values_id_3_3,v_attribute_values_name_3_3_1,v_attribute_values_price_3_3,v_attribute_values_id_3_4,v_attribute_values_name_3_4_1,v_attribute_values_price_3_4,v_attribute_values_id_3_5,v_attribute_values_name_3_5_1,v_attribute_values_price_3_5,v_attribute_options_id_4,v_attribute_options_name_4_1,v_attribute_values_id_4_1,v_attribute_values_name_4_1_1,v_attribute_values_price_4_1,v_attribute_values_id_4_2,v_attribute_values_name_4_2_1,v_attribute_values_price_4_2,v_attribute_values_id_4_3,v_attribute_values_name_4_3_1,v_attribute_values_price_4_3,v_attribute_values_id_4_4,v_attribute_values_name_4_4_1,v_attribute_values_price_4_4,v_attribute_options_id_5,v_attribute_options_name_5_1,v_attribute_values_id_5_1,v_attribute_values_name_5_1_1,v_attribute_values_price_5_1,v_attribute_values_id_5_2,v_attribute_values_name_5_2_1,v_attribute_values_price_5_2,v_tax_class_title,v_status,EOREOR
keyboard,H000045330,,,,,,,,,,,,,,,,,,35,,100,1,,6/2/2014 10:30,,KEYBOARD ENGLISH,,TOSHIBA,,TOSHIBA KEYBOARD US,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
AC adapter,P000556540,,,,,,,,,,,,,,,,,,39,,100,1,,6/2/2014 10:30,,ADAPTER,,TOSHIBA,,TOSHIBA ADAPTER,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
AC ADAPTER,P0005352040,,,,,,,,,,,,,,,,,,39,,100,1,,6/2/2014 10:30,,ADAPTER,,TOSHIBA,,TOSHIBA ADAPTER,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
Touchpad board,H000031220,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,OTHER,,TOSHIBA,,TOSHIBA OTHER,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
Touch Pad Board,V000946860,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,OTHER,,TOSHIBA,,TOSHIBA OTHER,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
Touch Pad Board,V000240460,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,OTHER,,TOSHIBA,,TOSHIBA OTHER,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
Touch Pad,H000037830,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,OTHER,,TOSHIBA,,TOSHIBA OTHER,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
Touch Pad,a000208130,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,OTHER,,TOSHIBA,,TOSHIBA OTHER,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
keyboard cover,H000038150,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,OTHER,,TOSHIBA,,TOSHIBA OTHER,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
DC-IN JACK,V000942580,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,OTHER,,TOSHIBA,,TOSHIBA OTHER,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
DC IN Jack,H000037850,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,OTHER,,TOSHIBA,,TOSHIBA OTHER,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
Topcover,H000052180,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,PALMREST,,TOSHIBA,,TOSHIBA PALMREST,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
top cover assy,v000220030,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,PALMREST,,TOSHIBA,,TOSHIBA PALMREST,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
Top Cover,V000320130,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,PALMREST,,TOSHIBA,,TOSHIBA PALMREST,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
Top cover,V000300200,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,PALMREST,,TOSHIBA,,TOSHIBA PALMREST,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
Top Cover,v000270660,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,PALMREST,,TOSHIBA,,TOSHIBA PALMREST,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
TOP COVER,H000043330,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,PALMREST,,TOSHIBA,,TOSHIBA PALMREST,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
top cover,H000043230,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,PALMREST,,TOSHIBA,,TOSHIBA PALMREST,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
Top Cover,H000041650,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,PALMREST,,TOSHIBA,,TOSHIBA PALMREST,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
TCA,H000034540,,,,,,,,,,,,,,,,,,45,,100,1,,6/2/2014 10:30,,PALMREST,,TOSHIBA,,TOSHIBA PALMREST,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
Thermal module/fan,H000037340,,,,,,,,,,,,,,,,,,50,,100,1,,6/2/2014 10:30,,THERMAL MODULE,,TOSHIBA,,TOSHIBA THERMAL MODULE,,,,,,,,,TOSHIBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxable Goods,Active,EOREOR
